# silu input distribution harvested from real images
# total=14279920 below_-40=43 above_40=68
bin_lo,bin_hi,count
-19.8438,-19.6875,6
-19.6875,-19.5312,7
-19.5312,-19.3750,7
-19.3750,-19.2188,6
-19.2188,-19.0625,11
-19.0625,-18.9062,9
-18.9062,-18.7500,6
-18.7500,-18.5938,7
-18.5938,-18.4375,6
-18.4375,-18.2812,4
-18.2812,-18.1250,8
-18.1250,-17.9688,5
-17.9688,-17.8125,7
-17.8125,-17.6562,11
-17.6562,-17.5000,7
-17.5000,-17.3438,8
-17.3438,-17.1875,10
-17.1875,-17.0312,8
-17.0312,-16.8750,5
-16.8750,-16.7188,7
-16.7188,-16.5625,8
-16.5625,-16.4062,11
-16.4062,-16.2500,11
-16.2500,-16.0938,16
-16.0938,-15.9375,12
-15.9375,-15.7812,9
-15.7812,-15.6250,12
-15.6250,-15.4688,11
-15.4688,-15.3125,25
-15.3125,-15.1562,14
-15.1562,-15.0000,11
-15.0000,-14.8438,17
-14.8438,-14.6875,10
-14.6875,-14.5312,19
-14.5312,-14.3750,17
-14.3750,-14.2188,33
-14.2188,-14.0625,20
-14.0625,-13.9062,26
-13.9062,-13.7500,24
-13.7500,-13.5938,28
-13.5938,-13.4375,26
-13.4375,-13.2812,28
-13.2812,-13.1250,23
-13.1250,-12.9688,27
-12.9688,-12.8125,31
-12.8125,-12.6562,31
-12.6562,-12.5000,46
-12.5000,-12.3438,47
-12.3438,-12.1875,40
-12.1875,-12.0312,76
-12.0312,-11.8750,71
-11.8750,-11.7188,67
-11.7188,-11.5625,67
-11.5625,-11.4062,63
-11.4062,-11.2500,76
-11.2500,-11.0938,94
-11.0938,-10.9375,98
-10.9375,-10.7812,81
-10.7812,-10.6250,92
-10.6250,-10.4688,115
-10.4688,-10.3125,143
-10.3125,-10.1562,140
-10.1562,-10.0000,146
-10.0000,-9.8438,157
-9.8438,-9.6875,172
-9.6875,-9.5312,161
-9.5312,-9.3750,194
-9.3750,-9.2188,194
-9.2188,-9.0625,247
-9.0625,-8.9062,280
-8.9062,-8.7500,307
-8.7500,-8.5938,291
-8.5938,-8.4375,333
-8.4375,-8.2812,398
-8.2812,-8.1250,383
-8.1250,-7.9688,439
-7.9688,-7.8125,495
-7.8125,-7.6562,568
-7.6562,-7.5000,593
-7.5000,-7.3438,654
-7.3438,-7.1875,746
-7.1875,-7.0312,809
-7.0312,-6.8750,954
-6.8750,-6.7188,1059
-6.7188,-6.5625,1195
-6.5625,-6.4062,1323
-6.4062,-6.2500,1692
-6.2500,-6.0938,1902
-6.0938,-5.9375,2127
-5.9375,-5.7812,2296
-5.7812,-5.6250,2674
-5.6250,-5.4688,3091
-5.4688,-5.3125,3569
-5.3125,-5.1562,4185
-5.1562,-5.0000,4810
-5.0000,-4.8438,5644
-4.8438,-4.6875,6540
-4.6875,-4.5312,7845
-4.5312,-4.3750,9271
-4.3750,-4.2188,10817
-4.2188,-4.0625,13097
-4.0625,-3.9062,15629
-3.9062,-3.7500,19018
-3.7500,-3.5938,23160
-3.5938,-3.4375,28227
-3.4375,-3.2812,34344
-3.2812,-3.1250,41456
-3.1250,-2.9688,49924
-2.9688,-2.8125,61077
-2.8125,-2.6562,74482
-2.6562,-2.5000,91990
-2.5000,-2.3438,110865
-2.3438,-2.1875,134049
-2.1875,-2.0312,160315
-2.0312,-1.8750,193816
-1.8750,-1.7188,230457
-1.7188,-1.5625,274130
-1.5625,-1.4062,319793
-1.4062,-1.2500,372504
-1.2500,-1.0938,428074
-1.0938,-0.9375,488172
-0.9375,-0.7812,547618
-0.7812,-0.6250,605949
-0.6250,-0.4688,653002
-0.4688,-0.3125,689021
-0.3125,-0.1562,715709
-0.1562,0.0000,725110
0.0000,0.1562,717601
0.1562,0.3125,706093
0.3125,0.4688,672822
0.4688,0.6250,628037
0.6250,0.7812,579710
0.7812,0.9375,506132
0.9375,1.0938,435834
1.0938,1.2500,377725
1.2500,1.4062,325908
1.4062,1.5625,281343
1.5625,1.7188,244573
1.7188,1.8750,211846
1.8750,2.0312,184437
2.0312,2.1875,160984
2.1875,2.3438,139321
2.3438,2.5000,121905
2.5000,2.6562,106732
2.6562,2.8125,93068
2.8125,2.9688,79818
2.9688,3.1250,69242
3.1250,3.2812,59796
3.2812,3.4375,51116
3.4375,3.5938,43470
3.5938,3.7500,36987
3.7500,3.9062,31090
3.9062,4.0625,27010
4.0625,4.2188,23037
4.2188,4.3750,19913
4.3750,4.5312,17215
4.5312,4.6875,14920
4.6875,4.8438,13304
4.8438,5.0000,11446
5.0000,5.1562,10235
5.1562,5.3125,9167
5.3125,5.4688,8408
5.4688,5.6250,7515
5.6250,5.7812,6871
5.7812,5.9375,6200
5.9375,6.0938,5513
6.0938,6.2500,5152
6.2500,6.4062,4622
6.4062,6.5625,4172
6.5625,6.7188,3849
6.7188,6.8750,3630
6.8750,7.0312,3203
7.0312,7.1875,2838
7.1875,7.3438,2465
7.3438,7.5000,2227
7.5000,7.6562,1922
7.6562,7.8125,1666
7.8125,7.9688,1386
7.9688,8.1250,1288
8.1250,8.2812,1133
8.2812,8.4375,988
8.4375,8.5938,936
8.5938,8.7500,854
8.7500,8.9062,732
8.9062,9.0625,717
9.0625,9.2188,614
9.2188,9.3750,549
9.3750,9.5312,520
9.5312,9.6875,483
9.6875,9.8438,448
9.8438,10.0000,400
10.0000,10.1562,376
10.1562,10.3125,331
10.3125,10.4688,299
10.4688,10.6250,254
10.6250,10.7812,238
10.7812,10.9375,243
10.9375,11.0938,206
11.0938,11.2500,205
11.2500,11.4062,174
11.4062,11.5625,171
11.5625,11.7188,146
11.7188,11.8750,137
11.8750,12.0312,147
12.0312,12.1875,125
12.1875,12.3438,83
12.3438,12.5000,78
12.5000,12.6562,96
12.6562,12.8125,88
12.8125,12.9688,68
12.9688,13.1250,44
13.1250,13.2812,59
13.2812,13.4375,55
13.4375,13.5938,60
13.5938,13.7500,49
13.7500,13.9062,49
13.9062,14.0625,46
14.0625,14.2188,45
14.2188,14.3750,40
14.3750,14.5312,48
14.5312,14.6875,46
14.6875,14.8438,38
14.8438,15.0000,30
15.0000,15.1562,46
15.1562,15.3125,35
15.3125,15.4688,31
15.4688,15.6250,28
15.6250,15.7812,22
15.7812,15.9375,29
15.9375,16.0938,23
16.0938,16.2500,22
16.2500,16.4062,21
16.4062,16.5625,22
16.5625,16.7188,16
16.7188,16.8750,20
16.8750,17.0312,24
17.0312,17.1875,21
17.1875,17.3438,24
17.3438,17.5000,16
17.5000,17.6562,9
17.6562,17.8125,18
17.8125,17.9688,16
17.9688,18.1250,10
18.1250,18.2812,9
18.2812,18.4375,15
18.4375,18.5938,29
18.5938,18.7500,10
18.7500,18.9062,9
18.9062,19.0625,7
19.0625,19.2188,7
19.2188,19.3750,5
19.3750,19.5312,11
19.5312,19.6875,8
19.6875,19.8438,5
19.8438,20.0000,15
20.0000,20.1562,11
20.1562,20.3125,7
20.3125,20.4688,12
20.4688,20.6250,25
20.6250,20.7812,9
20.7812,20.9375,7
20.9375,21.0938,13
21.0938,21.2500,5
21.2500,21.4062,6
21.4062,21.5625,2
21.5625,21.7188,5
21.7188,21.8750,3
21.8750,22.0312,6
22.0312,22.1875,4
22.1875,22.3438,4
22.3438,22.5000,4
22.5000,22.6562,8
22.6562,22.8125,4
22.9688,23.1250,7
23.1250,23.2812,2
23.2812,23.4375,2
23.4375,23.5938,4
23.5938,23.7500,2
23.7500,23.9062,4
23.9062,24.0625,4
24.0625,24.2188,3
24.2188,24.3750,5
24.3750,24.5312,4
24.5312,24.6875,5
24.6875,24.8438,1
24.8438,25.0000,5
25.0000,25.1562,6
25.1562,25.3125,2
25.3125,25.4688,3
25.4688,25.6250,1
25.6250,25.7812,3
25.9375,26.0938,2
26.0938,26.2500,2
26.2500,26.4062,3
26.4062,26.5625,2
26.5625,26.7188,2
26.7188,26.8750,4
26.8750,27.0312,3
27.0312,27.1875,3
27.1875,27.3438,2
27.3438,27.5000,2
27.5000,27.6562,3
27.8125,27.9688,2
27.9688,28.1250,2
28.1250,28.2812,2
28.2812,28.4375,4
28.4375,28.5938,4
28.5938,28.7500,2
28.7500,28.9062,1
28.9062,29.0625,4
29.0625,29.2188,2
29.2188,29.3750,1
29.5312,29.6875,3
29.6875,29.8438,1
29.8438,30.0000,1
30.0000,30.1562,2
30.1562,30.3125,2
30.3125,30.4688,1
30.4688,30.6250,3
30.6250,30.7812,2
30.7812,30.9375,3
31.0938,31.2500,5
31.2500,31.4062,1
31.4062,31.5625,2
31.5625,31.7188,2
31.7188,31.8750,1
31.8750,32.0312,3
32.1875,32.3438,1
32.3438,32.5000,3
32.5000,32.6562,2
32.8125,32.9688,2
32.9688,33.1250,1
33.1250,33.2812,2
33.2812,33.4375,1
33.5938,33.7500,2
33.9062,34.0625,1
34.0625,34.2188,2
34.3750,34.5312,1
34.6875,34.8438,1
34.8438,35.0000,3
35.1562,35.3125,2
35.3125,35.4688,2
35.6250,35.7812,2
35.7812,35.9375,1
35.9375,36.0938,1
36.0938,36.2500,2
36.2500,36.4062,2
36.5625,36.7188,1
36.7188,36.8750,1
37.5000,37.6562,1
37.8125,37.9688,2
37.9688,38.1250,3
38.1250,38.2812,2
38.5938,38.7500,2
38.7500,38.9062,2
38.9062,39.0625,1
39.0625,39.2188,1
39.2188,39.3750,1
39.3750,39.5312,1
39.5312,39.6875,1
39.6875,39.8438,1
